Kuniga >=2.5 savdo: 342 sinov, foydali median: 0

 tf                        strategy       family   med  pct  tpd   wr  gross
 1h        heikin_ashi_color_change        trend -10.3 20.0  3.2 32.5    8.2
 1h       p_macd_5_35_5__sl2_signal       p_macd -13.5 12.0  2.5 35.2    0.9
 1h                 tv_ut_bot_alert           tv -16.0 12.0  2.9 34.2   -0.6
 1h                    tv_rvi_cross           tv -17.6 18.0  3.2 38.4   -0.4
 1h         p_roc_6_0.5__sl2_signal        p_roc -17.7 18.0  2.8 32.7   -2.0
 1h      p_bbrev_10_1.5__sl2_signal         p_bb -20.0  4.0  3.0 54.9   -4.0
 1h         p_roc_6_0.3__sl2_signal        p_roc -20.2 14.0  3.0 32.2   -3.4
15m    p_donchian_55_20__sl3_trail3   p_donchian -20.2  6.0  2.5 34.7    2.3
 1h       p_rsi_5_35_65__sl2_signal        p_rsi -20.7  4.0  2.9 57.1   -4.3
15m p_supertrend_14_4.0__sl3_trail3 p_supertrend -23.6  8.0  2.6 33.8   -0.6
15m    p_donchian_40_20__sl3_trail3   p_donchian -24.1  6.0  3.0 34.8    1.1
15m  p_supertrend_7_4.0__sl3_trail3 p_supertrend -24.8  6.0  2.7 34.5   -0.5
15m p_supertrend_20_4.0__sl3_trail3 p_supertrend -25.4  8.0  2.6 33.8   -1.9
15m p_supertrend_10_4.0__sl3_trail3 p_supertrend -25.5  8.0  2.6 34.0   -1.8
15m     p_macd_24_52_18__sl3_trail3       p_macd -26.1  6.0  2.9 34.6   -0.5
 1h       p_rsi_2_20_80__sl2_signal        p_rsi -26.9  0.0  3.7 50.0   -6.4
15m           chandelier_exit_trend        trend -27.4  0.0  3.0 33.3   -2.9
 1h      p_rsi_2_20_80__sl1.5_tp1.5        p_rsi -28.1  4.0  2.8 49.7   -8.8
15m p_supertrend_20_4.0__sl2_signal p_supertrend -28.3 16.0  2.6 25.4    5.7
15m                tv_coppock_curve           tv -28.4  8.0  3.6 30.2    4.8

Winrate>=60%: 22 sinov, median daromad -0.6%

 tf                        strategy  family   med  pct  tpd    wr  gross
15m    hw_grid_neutral_10_levels_sl  highwr -28.5  0.0  4.6 100.0  -20.2
15m hw_dca_martingale_short_tp1_so5  highwr -43.0 34.0  0.5  98.1  -40.0
15m  hw_dca_martingale_long_tp1_so5  highwr  -4.5 44.0  0.5  93.8   -1.5
 4h       p_rsi_7_35_65__sl2_signal   p_rsi  -0.4 48.0  0.5  64.4    0.9
 4h     p_rsi_14_20_80__sl1.5_tp1.5   p_rsi   0.9 60.0  0.0  64.1    1.0
 4h       p_rsi_7_30_70__sl2_signal   p_rsi  -0.6 48.0  0.4  63.6    0.5
 4h             connors_rsi2_sma200 meanrev  -0.3 38.0  0.2  62.7   -0.0
 4h       p_rsi_5_25_75__sl2_signal   p_rsi  -0.0 50.0  0.4  62.5    1.3
 4h       p_rsi_5_20_80__sl2_signal   p_rsi  -0.6 42.0  0.3  62.4    0.1
 4h       p_rsi_5_30_70__sl2_signal   p_rsi   0.8 54.0  0.6  62.3    2.4
 4h       p_rsi_5_35_65__sl2_signal   p_rsi  -0.3 46.0  0.7  62.2    1.6
 4h     p_stoch_5_20_80__sl2_signal p_stoch   0.2 54.0  0.3  62.2    1.2
 4h             williams_r_reversal meanrev  -1.2 42.0  0.6  62.1    0.7
 4h       p_rsi_7_25_75__sl2_signal   p_rsi  -1.9 46.0  0.3  62.1   -1.2
 4h          tv_ultimate_oscillator      tv   0.1 52.0  0.1  61.5    0.4
 4h        p_cci_14_100__sl2_signal   p_cci  -0.6 46.0  0.4  61.0    0.6
 4h     p_rsi_21_25_75__sl1.5_tp1.5   p_rsi   0.2 54.0  0.0  60.5    0.4
 4h             tv_fisher_transform      tv   0.2 58.0  0.1  60.5    0.5
 1h       p_rsi_7_25_75__sl2_signal   p_rsi  -5.8 22.0  1.1  60.5    0.5
 1h       p_rsi_7_35_65__sl2_signal   p_rsi -13.9 14.0  2.1  60.4   -1.0
